application_number,sponsor_name,brand_name,product_number,reference_drug,active_ingredients,referenced_standard,dosage_form,route,marketing_status
ANDA080013,WYETH AYERST,SULFOSE,002,No,,No,SUSPENSION,ORAL,Discontinued
ANDA080013,WYETH AYERST,SULFOSE,001,No,,No,TABLET,ORAL,Discontinued
ANDA080081,IMPAX LABS,SULFADIAZINE,001,Yes,,No,TABLET,ORAL,Discontinued
ANDA080082,ROXANE,SULFISOXAZOLE,001,No,,No,TABLET,ORAL,Discontinued
ANDA080099,FOREST PHARMS,SULFALOID,001,No,,No,TABLET,ORAL,Discontinued
ANDA080109,IMPAX LABS,SULFISOXAZOLE,001,No,,No,TABLET,ORAL,Discontinued
ANDA080126,EVERYLIFE,STANOZIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA080126,EVERYLIFE,STANOZIDE,002,No,,No,TABLET,ORAL,Discontinued
ANDA080132,PUREPAC PHARM,ISONIAZID,003,No,,No,TABLET,ORAL,Discontinued
ANDA080132,PUREPAC PHARM,ISONIAZID,004,No,,No,TABLET,ORAL,Discontinued
NDA017874,BAXTER HLTHCARE CORP,TRANSDERM SCOP,001,Yes,,No,SYSTEM,TRANSDERMAL,Prescription
ANDA080159,IMPAX LABS,PROPYLTHIOURACIL,001,No,,No,TABLET,ORAL,Discontinued
NDA017876,TEVA BRANDED PHARM,LOESTRIN 21 1/20,001,Yes,,No,TABLET,ORAL-21,Discontinued
ANDA080285,ANABOLIC,PROPYLTHIOURACIL,001,No,,No,TABLET,ORAL,Discontinued
ANDA080330,DOW PHARM,DOW-ISONIAZID,002,No,,No,TABLET,ORAL,Discontinued
ANDA080351,PANRAY,PREDNISOLONE,002,No,,No,TABLET,ORAL,Discontinued
ANDA080351,PANRAY,PREDNISOLONE,001,No,,No,TABLET,ORAL,Discontinued
ANDA080385,ABBOTT,MEPERIDINE HYDROCHLORIDE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA080399,PRASCO,DEXAMETHASONE,001,No,,No,TABLET,ORAL,Discontinued
ANDA080399,PRASCO,DEXAMETHASONE,002,No,,No,TABLET,ORAL,Prescription
ANDA080403,PUREPAC PHARM,CHLORPROMAZINE HYDROCHLORIDE,004,No,,No,TABLET,ORAL,Discontinued
ANDA080403,PUREPAC PHARM,CHLORPROMAZINE HYDROCHLORIDE,002,No,,No,TABLET,ORAL,Discontinued
ANDA080403,PUREPAC PHARM,CHLORPROMAZINE HYDROCHLORIDE,005,No,,No,TABLET,ORAL,Discontinued
ANDA080403,PUREPAC PHARM,CHLORPROMAZINE HYDROCHLORIDE,003,No,,No,TABLET,ORAL,Discontinued
ANDA080403,PUREPAC PHARM,CHLORPROMAZINE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA080426,BAUSCH,CETACORT,002,No,,No,LOTION,TOPICAL,Discontinued
ANDA080426,BAUSCH,CETACORT,001,No,,No,LOTION,TOPICAL,Discontinued
ANDA080489,ALTANA,HYDROCORTISONE,002,No,,No,OINTMENT,TOPICAL,Discontinued
ANDA080489,ALTANA,HYDROCORTISONE,003,No,,No,OINTMENT,TOPICAL,Discontinued
ANDA080492,MARSHALL PHARMA,RESERPINE,002,No,,No,TABLET,ORAL,Discontinued
ANDA080492,MARSHALL PHARMA,RESERPINE,001,No,,No,TABLET,ORAL,Discontinued
ANDA080504,BELMORA LLC,LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE,005,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA080504,BELMORA LLC,LIDOCAINE HYDROCHLORIDE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA080504,BELMORA LLC,LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE,004,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA080510,ABRAXIS PHARM,CYANOCOBALAMIN,002,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA080510,ABRAXIS PHARM,CYANOCOBALAMIN,003,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA080510,ABRAXIS PHARM,CYANOCOBALAMIN,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA080514,CHARTWELL MOLECULAR,PREDNISONE,001,No,,No,TABLET,ORAL,Discontinued
ANDA080625,ELKINS SINN,PREDNISOLONE,001,No,,No,TABLET,ORAL,Discontinued
ANDA080680,WATSON LABS,FOLIC ACID,001,Yes,,No,TABLET,ORAL,Prescription
ANDA080736,LUITPOLD,POTASSIUM CHLORIDE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA080749,WATSON LABS,RESERPINE,001,No,,No,TABLET,ORAL,Discontinued
ANDA080780,IMPAX LABS,PREDNISOLONE,001,No,,No,TABLET,ORAL,Discontinued
ANDA080828,FERA PHARMS,HYDROCORTISONE ACETATE,001,No,,No,OINTMENT,OPHTHALMIC,Discontinued
ANDA080921,TEVA,VITAMIN A SOLUBILIZED,001,No,,No,CAPSULE,ORAL,Discontinued
ANDA080932,WATSON LABS,PROPYLTHIOURACIL,001,No,,No,TABLET,ORAL,Discontinued
ANDA080961,AUROLIFE PHARMA LLC,CHLORPHENIRAMINE MALEATE,001,No,,No,TABLET,ORAL,Discontinued
ANDA081008,FERNDALE LABS,STRIFON FORTE DSC,001,No,,No,TABLET,ORAL,Discontinued
ANDA081019,WATSON LABS,CHLORZOXAZONE,001,No,,No,TABLET,ORAL,Discontinued
ANDA081097,MIKART,"ACETAMINOPHEN, ASPIRIN, AND CODEINE PHOSPHATE",001,No,,No,CAPSULE,ORAL,Discontinued
ANDA081113,SUN PHARM INDUSTRIES,ERGOLOID MESYLATES,001,No,,No,TABLET,ORAL,Discontinued
ANDA081266,TEVA PARENTERAL,METHYLPREDNISOLONE SODIUM SUCCINATE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA081268,TEVA PARENTERAL,METHYLPREDNISOLONE SODIUM SUCCINATE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA081310,ANI PHARMS,FLUPHENAZINE HYDROCHLORIDE,001,No,,No,ELIXIR,ORAL,Discontinued
ANDA081318,COSETTE,LIDOCAINE HYDROCHLORIDE,001,No,,No,JELLY,TOPICAL,Discontinued
ANDA083082,HIKMA PHARMS,CHLOROQUINE PHOSPHATE,001,No,,No,TABLET,ORAL,Discontinued
ANDA083082,HIKMA PHARMS,CHLOROQUINE PHOSPHATE,002,No,,No,TABLET,ORAL,Discontinued
NDA018004,EPIC PHARMA LLC,HYDROXYPROGESTERONE CAPROATE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA083113,PVT FORM,PROPOXYPHENE HYDROCHLORIDE,001,No,,No,CAPSULE,ORAL,Discontinued
NDA018006,PARKE DAVIS,MECLOMEN,001,No,,No,CAPSULE,ORAL,Discontinued
NDA018006,PARKE DAVIS,MECLOMEN,002,No,,No,CAPSULE,ORAL,Discontinued
ANDA083134,EVERYLIFE,VITAMIN A,001,No,,No,CAPSULE,ORAL,Discontinued
ANDA083145,ELKINS SINN,RESERPINE,001,No,,No,TABLET,ORAL,Discontinued
ANDA083145,ELKINS SINN,RESERPINE,002,No,,No,TABLET,ORAL,Discontinued
ANDA083151,WATSON LABS,PROPANTHELINE BROMIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA083185,NEXGEN PHARMA INC,PROPOXYPHENE HYDROCHLORIDE,001,No,,No,CAPSULE,ORAL,Discontinued
ANDA083186,MUTUAL PHARM,PROPOXYPHENE HYDROCHLORIDE,001,No,,No,CAPSULE,ORAL,Discontinued
ANDA083198,LUITPOLD,LIDOCAINE HYDROCHLORIDE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA083205,COLGATE,ORABASE HCA,001,No,,No,PASTE,TOPICAL,Discontinued
ANDA083254,HOSPIRA,HALOTHANE,001,No,,No,LIQUID,INHALATION,Discontinued
ANDA083281,ELKINS SINN,SECOBARBITAL SODIUM,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA083283,HOSPIRA,ISOPROTERENOL HYDROCHLORIDE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA083325,WHITEWORTH TOWN PLSN,BUTABARBITAL SODIUM,002,No,,No,TABLET,ORAL,Discontinued
ANDA083462,WATSON LABS,TRICHLORMETHIAZIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA083464,PVT FORM,PROPOXYPHENE HYDROCHLORIDE,001,No,,No,CAPSULE,ORAL,Discontinued
ANDA083471,BARR,CORTISONE ACETATE,001,No,,No,TABLET,ORAL,Discontinued
ANDA083475,LANNETT,GLUTETHIMIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA083484,IVAX SUB TEVA PHARMS,SODIUM BUTABARBITAL,001,No,,No,TABLET,ORAL,Discontinued
ANDA083517,SANOFI AVENTIS US,DV,001,No,,No,SUPPOSITORY,VAGINAL,Discontinued
ANDA083532,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA083532,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,002,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA083546,WATSON LABS,ESTRADIOL VALERATE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA083561,UPSHER SMITH LABS,HYDRALAZINE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA083583,HALSEY,QUINIDINE SULFATE,001,No,,No,TABLET,ORAL,Discontinued
ANDA083613,IVAX SUB TEVA PHARMS,PROMETHAZINE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA083629,HALSEY,KLOROMIN,001,No,,No,TABLET,ORAL,Discontinued
ANDA083632,HALSEY,ISONIAZID,001,No,,No,TABLET,ORAL,Discontinued
ANDA083639,ROCHE,ENDEP,005,No,,No,TABLET,ORAL,Discontinued
ANDA083639,ROCHE,ENDEP,003,No,,No,TABLET,ORAL,Discontinued
ANDA083639,ROCHE,ENDEP,001,No,,No,TABLET,ORAL,Discontinued
ANDA083639,ROCHE,ENDEP,004,No,,No,TABLET,ORAL,Discontinued
ANDA083639,ROCHE,ENDEP,002,No,,No,TABLET,ORAL,Discontinued
ANDA083718,HIKMA,NIACIN,001,No,,No,TABLET,ORAL,Discontinued
ANDA083724,INTL MEDICATION,ISOPROTERENOL HYDROCHLORIDE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA083733,BEL MAR,PYRIDAMAL 100,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA083764,WATSON LABS,PREDNISOLONE ACETATE,001,No,,No,INJECTABLE,INJECTION,Discontinued
